id,roleid,badgenumber,validfrom,validto
1001,1006,"EMP001","2023-01-01","2023-05-20"
1002,1008,"EMP001","2023-05-21","2023-11-15"
1003,1006,"EMP001","2023-11-16","\N"
1004,1013,"EMP002","2023-01-01","2023-05-02"
1005,1016,"EMP002","2023-05-03","2023-08-03"
1006,1014,"EMP002","2023-08-04","\N"
1007,1007,"EMP003","2023-01-01","2023-04-22"
1008,1006,"EMP003","2023-04-23","\N"
1009,1001,"EMP004","2023-01-01","\N"
1010,1010,"EMP005","2023-01-01","2023-04-10"
1011,1012,"EMP005","2023-04-11","2023-08-25"
1012,1011,"EMP005","2023-08-26","2024-01-23"
1013,1009,"EMP005","2024-01-24","\N"
1014,1001,"EMP006","2023-01-01","\N"
1015,1005,"EMP007","2023-01-01","2023-05-05"
1016,1007,"EMP007","2023-05-06","\N"
1017,1002,"EMP008","2023-01-01","2023-05-26"
1018,1001,"EMP008","2023-05-27","\N"
1019,1014,"EMP009","2023-01-01","2023-04-14"
1020,1016,"EMP009","2023-04-15","2023-07-25"
1021,1014,"EMP009","2023-07-26","\N"
1022,1016,"EMP010","2023-01-01","\N"
1023,1001,"EMP011","2023-01-01","2023-04-18"
1024,1002,"EMP011","2023-04-19","\N"
1025,1016,"EMP012","2023-01-01","2023-06-08"
1026,1015,"EMP012","2023-06-09","2023-10-12"
1027,1016,"EMP012","2023-10-13","2024-01-14"
1028,1013,"EMP012","2024-01-15","\N"
1029,1010,"EMP013","2023-01-01","2023-04-18"
1030,1009,"EMP013","2023-04-19","2023-07-23"
1031,1012,"EMP013","2023-07-24","2024-01-17"
1032,1009,"EMP013","2024-01-18","\N"
1033,1013,"EMP014","2023-01-01","2023-06-17"
1034,1016,"EMP014","2023-06-18","\N"
1035,1002,"EMP015","2023-01-01","2023-04-29"
1036,1003,"EMP015","2023-04-30","2023-09-13"
1037,1004,"EMP015","2023-09-14","2024-02-09"
1038,1003,"EMP015","2024-02-10","\N"
1039,1013,"EMP016","2023-01-01","2023-06-25"
1040,1015,"EMP016","2023-06-26","2023-12-02"
1041,1013,"EMP016","2023-12-03","2024-05-28"
1042,1014,"EMP016","2024-05-29","\N"
1043,1015,"EMP017","2023-01-01","2023-06-19"
1044,1014,"EMP017","2023-06-20","2023-10-25"
1045,1015,"EMP017","2023-10-26","\N"
1046,1006,"EMP018","2023-01-01","\N"
1047,1002,"EMP019","2023-01-01","2023-04-24"
1048,1003,"EMP019","2023-04-25","\N"
1049,1002,"EMP020","2023-01-01","2023-06-10"
1050,1004,"EMP020","2023-06-11","\N"
1051,1015,"EMP021","2023-01-01","2023-04-16"
1052,1013,"EMP021","2023-04-17","\N"
1053,1004,"EMP022","2023-01-01","2023-06-16"
1054,1003,"EMP022","2023-06-17","2023-10-09"
1055,1004,"EMP022","2023-10-10","2024-03-11"
1056,1002,"EMP022","2024-03-12","\N"
1057,1011,"EMP023","2023-01-01","2023-04-04"
1058,1009,"EMP023","2023-04-05","2023-09-17"
1059,1012,"EMP023","2023-09-18","\N"
1060,1006,"EMP024","2023-01-01","2023-05-23"
1061,1008,"EMP024","2023-05-24","\N"
1062,1003,"EMP025","2023-01-01","\N"
1063,1015,"EMP026","2023-01-01","2023-05-07"
1064,1013,"EMP026","2023-05-08","\N"
1065,1014,"EMP027","2023-01-01","2023-04-16"
1066,1016,"EMP027","2023-04-17","2023-08-20"
1067,1015,"EMP027","2023-08-21","\N"
1068,1012,"EMP028","2023-01-01","2023-06-02"
1069,1011,"EMP028","2023-06-03","2023-10-01"
1070,1009,"EMP028","2023-10-02","2024-03-04"
1071,1011,"EMP028","2024-03-05","\N"
1072,1008,"EMP029","2023-01-01","2023-04-24"
1073,1006,"EMP029","2023-04-25","2023-08-30"
1074,1005,"EMP029","2023-08-31","2023-12-30"
1075,1007,"EMP029","2023-12-31","\N"
1076,1013,"EMP030","2023-01-01","2023-06-18"
1077,1016,"EMP030","2023-06-19","2023-12-16"
1078,1015,"EMP030","2023-12-17","2024-03-19"
1079,1016,"EMP030","2024-03-20","\N"
1080,1016,"EMP031","2023-01-01","2023-05-12"
1081,1014,"EMP031","2023-05-13","\N"
1082,1013,"EMP032","2023-01-01","2023-04-29"
1083,1014,"EMP032","2023-04-30","\N"
1084,1005,"EMP033","2023-01-01","2023-06-23"
1085,1008,"EMP033","2023-06-24","2023-11-28"
1086,1006,"EMP033","2023-11-29","2024-03-01"
1087,1005,"EMP033","2024-03-02","\N"
1088,1002,"EMP034","2023-01-01","2023-05-20"
1089,1004,"EMP034","2023-05-21","2023-09-11"
1090,1001,"EMP034","2023-09-12","\N"
1091,1008,"EMP035","2023-01-01","2023-04-09"
1092,1007,"EMP035","2023-04-10","2023-09-15"
1093,1008,"EMP035","2023-09-16","\N"
1094,1007,"EMP036","2023-01-01","\N"
1095,1012,"EMP037","2023-01-01","2023-04-12"
1096,1011,"EMP037","2023-04-13","\N"
1097,1003,"EMP038","2023-01-01","2023-04-14"
1098,1002,"EMP038","2023-04-15","2023-09-01"
1099,1001,"EMP038","2023-09-02","2024-02-08"
1100,1003,"EMP038","2024-02-09","\N"
1101,1010,"EMP039","2023-01-01","2023-04-11"
1102,1009,"EMP039","2023-04-12","2023-08-27"
1103,1011,"EMP039","2023-08-28","2024-01-09"
1104,1009,"EMP039","2024-01-10","\N"
1105,1007,"EMP040","2023-01-01","2023-04-21"
1106,1005,"EMP040","2023-04-22","2023-07-29"
1107,1006,"EMP040","2023-07-30","2023-12-07"
1108,1007,"EMP040","2023-12-08","\N"
1109,1009,"EMP041","2023-01-01","2023-04-25"
1110,1010,"EMP041","2023-04-26","2023-09-17"
1111,1012,"EMP041","2023-09-18","\N"
1112,1002,"EMP042","2023-01-01","\N"
1113,1011,"EMP043","2023-01-01","2023-04-22"
1114,1010,"EMP043","2023-04-23","2023-09-27"
1115,1011,"EMP043","2023-09-28","\N"
1116,1011,"EMP044","2023-01-01","2023-06-13"
1117,1012,"EMP044","2023-06-14","2023-10-02"
1118,1009,"EMP044","2023-10-03","2024-01-04"
1119,1011,"EMP044","2024-01-05","\N"
1120,1007,"EMP045","2023-01-01","\N"
1121,1011,"EMP046","2023-01-01","2023-05-08"
1122,1010,"EMP046","2023-05-09","2023-09-12"
1123,1009,"EMP046","2023-09-13","\N"
1124,1011,"EMP047","2023-01-01","\N"
1125,1013,"EMP048","2023-01-01","2023-05-18"
1126,1016,"EMP048","2023-05-19","\N"
1127,1012,"EMP049","2023-01-01","2023-06-16"
1128,1011,"EMP049","2023-06-17","\N"
1129,1014,"EMP050","2023-01-01","2023-04-05"
1130,1013,"EMP050","2023-04-06","2023-07-12"
1131,1015,"EMP050","2023-07-13","2023-12-28"
1132,1014,"EMP050","2023-12-29","\N"
1133,1008,"EMP051","2023-01-01","\N"
1134,1004,"EMP052","2023-01-01","2023-06-19"
1135,1001,"EMP052","2023-06-20","2023-10-03"
1136,1004,"EMP052","2023-10-04","2024-02-22"
1137,1002,"EMP052","2024-02-23","\N"
1138,1001,"EMP053","2023-01-01","\N"
1139,1012,"EMP054","2023-01-01","\N"
1140,1015,"EMP055","2023-01-01","2023-04-05"
1141,1013,"EMP055","2023-04-06","2023-09-22"
1142,1016,"EMP055","2023-09-23","2024-03-13"
1143,1013,"EMP055","2024-03-14","\N"
1144,1015,"EMP056","2023-01-01","2023-05-31"
1145,1013,"EMP056","2023-06-01","2023-10-16"
1146,1016,"EMP056","2023-10-17","2024-03-30"
1147,1013,"EMP056","2024-03-31","\N"
1148,1010,"EMP057","2023-01-01","2023-04-24"
1149,1012,"EMP057","2023-04-25","\N"
1150,1012,"EMP058","2023-01-01","2023-06-03"
1151,1011,"EMP058","2023-06-04","2023-09-13"
1152,1009,"EMP058","2023-09-14","\N"
1153,1005,"EMP059","2023-01-01","2023-06-24"
1154,1006,"EMP059","2023-06-25","\N"
1155,1011,"EMP060","2023-01-01","\N"
1156,1006,"EMP061","2023-01-01","2023-05-03"
1157,1005,"EMP061","2023-05-04","\N"
1158,1009,"EMP062","2023-01-01","2023-06-03"
1159,1010,"EMP062","2023-06-04","\N"
1160,1001,"EMP063","2023-01-01","\N"
1161,1005,"EMP064","2023-01-01","2023-04-26"
1162,1007,"EMP064","2023-04-27","2023-09-10"
1163,1005,"EMP064","2023-09-11","\N"
1164,1007,"EMP065","2023-01-01","\N"
1165,1005,"EMP066","2023-01-01","\N"
1166,1014,"EMP067","2023-01-01","2023-06-09"
1167,1013,"EMP067","2023-06-10","\N"
1168,1014,"EMP068","2023-01-01","2023-05-08"
1169,1013,"EMP068","2023-05-09","2023-09-20"
1170,1016,"EMP068","2023-09-21","\N"
1171,1015,"EMP069","2023-01-01","2023-05-28"
1172,1014,"EMP069","2023-05-29","2023-10-10"
1173,1015,"EMP069","2023-10-11","2024-03-28"
1174,1014,"EMP069","2024-03-29","\N"
1175,1001,"EMP070","2023-01-01","2023-05-28"
1176,1002,"EMP070","2023-05-29","\N"
1177,1016,"EMP071","2023-01-01","2023-05-29"
1178,1013,"EMP071","2023-05-30","2023-10-28"
1179,1015,"EMP071","2023-10-29","\N"
1180,1003,"EMP072","2023-01-01","2023-04-11"
1181,1001,"EMP072","2023-04-12","\N"
1182,1011,"EMP073","2023-01-01","2023-05-01"
1183,1010,"EMP073","2023-05-02","2023-08-27"
1184,1009,"EMP073","2023-08-28","\N"
1185,1013,"EMP074","2023-01-01","2023-06-16"
1186,1016,"EMP074","2023-06-17","2023-11-18"
1187,1014,"EMP074","2023-11-19","2024-03-17"
1188,1016,"EMP074","2024-03-18","\N"
1189,1014,"EMP075","2023-01-01","\N"
1190,1005,"EMP076","2023-01-01","2023-04-03"
1191,1007,"EMP076","2023-04-04","2023-09-17"
1192,1005,"EMP076","2023-09-18","2024-01-10"
1193,1007,"EMP076","2024-01-11","\N"
1194,1014,"EMP077","2023-01-01","2023-05-24"
1195,1015,"EMP077","2023-05-25","2023-09-29"
1196,1014,"EMP077","2023-09-30","\N"
1197,1004,"EMP078","2023-01-01","2023-05-09"
1198,1001,"EMP078","2023-05-10","2023-09-21"
1199,1002,"EMP078","2023-09-22","2024-03-17"
1200,1004,"EMP078","2024-03-18","\N"
1201,1003,"EMP079","2023-01-01","2023-06-13"
1202,1002,"EMP079","2023-06-14","\N"
1203,1013,"EMP080","2023-01-01","\N"
1204,1015,"EMP081","2023-01-01","2023-04-22"
1205,1016,"EMP081","2023-04-23","2023-09-28"
1206,1014,"EMP081","2023-09-29","2024-01-14"
1207,1015,"EMP081","2024-01-15","\N"
1208,1002,"EMP082","2023-01-01","2023-06-01"
1209,1004,"EMP082","2023-06-02","2023-09-02"
1210,1001,"EMP082","2023-09-03","2023-12-26"
1211,1002,"EMP082","2023-12-27","\N"
1212,1001,"EMP083","2023-01-01","2023-06-25"
1213,1003,"EMP083","2023-06-26","2023-12-17"
1214,1004,"EMP083","2023-12-18","\N"
1215,1012,"EMP084","2023-01-01","\N"
1216,1011,"EMP085","2023-01-01","2023-05-18"
1217,1009,"EMP085","2023-05-19","2023-08-25"
1218,1012,"EMP085","2023-08-26","\N"
1219,1001,"EMP086","2023-01-01","2023-05-26"
1220,1004,"EMP086","2023-05-27","\N"
1221,1001,"EMP087","2023-01-01","2023-06-30"
1222,1003,"EMP087","2023-07-01","2023-10-15"
1223,1001,"EMP087","2023-10-16","2024-03-22"
1224,1004,"EMP087","2024-03-23","\N"
1225,1016,"EMP088","2023-01-01","2023-04-07"
1226,1015,"EMP088","2023-04-08","\N"
1227,1002,"EMP089","2023-01-01","\N"
1228,1006,"EMP090","2023-01-01","2023-06-27"
1229,1005,"EMP090","2023-06-28","2023-10-09"
1230,1008,"EMP090","2023-10-10","2024-02-26"
1231,1005,"EMP090","2024-02-27","\N"
1232,1001,"EMP091","2023-01-01","2023-04-23"
1233,1002,"EMP091","2023-04-24","\N"
1234,1004,"EMP092","2023-01-01","\N"
1235,1003,"EMP093","2023-01-01","2023-05-04"
1236,1001,"EMP093","2023-05-05","2023-08-26"
1237,1003,"EMP093","2023-08-27","\N"
1238,1013,"EMP094","2023-01-01","2023-05-30"
1239,1015,"EMP094","2023-05-31","2023-10-12"
1240,1013,"EMP094","2023-10-13","\N"
1241,1013,"EMP095","2023-01-01","2023-04-09"
1242,1014,"EMP095","2023-04-10","2023-09-02"
1243,1015,"EMP095","2023-09-03","\N"
1244,1010,"EMP096","2023-01-01","2023-05-04"
1245,1009,"EMP096","2023-05-05","2023-10-23"
1246,1012,"EMP096","2023-10-24","2024-03-31"
1247,1010,"EMP096","2024-04-01","\N"
1248,1014,"EMP097","2023-01-01","\N"
1249,1006,"EMP098","2023-01-01","2023-05-28"
1250,1008,"EMP098","2023-05-29","2023-11-17"
1251,1005,"EMP098","2023-11-18","\N"
1252,1014,"EMP099","2023-01-01","2023-04-09"
1253,1016,"EMP099","2023-04-10","\N"
1254,1007,"EMP100","2023-01-01","\N"
1255,1008,"EMP101","2023-01-01","2023-04-14"
1256,1007,"EMP101","2023-04-15","\N"
1257,1010,"EMP102","2023-01-01","2023-04-05"
1258,1011,"EMP102","2023-04-06","2023-09-23"
1259,1009,"EMP102","2023-09-24","\N"
1260,1015,"EMP103","2023-01-01","2023-06-16"
1261,1014,"EMP103","2023-06-17","2023-09-21"
1262,1013,"EMP103","2023-09-22","\N"
1263,1007,"EMP104","2023-01-01","2023-04-02"
1264,1008,"EMP104","2023-04-03","2023-09-14"
1265,1005,"EMP104","2023-09-15","2024-02-21"
1266,1007,"EMP104","2024-02-22","\N"
1267,1012,"EMP105","2023-01-01","\N"
1268,1010,"EMP106","2023-01-01","2023-06-17"
1269,1009,"EMP106","2023-06-18","2023-10-28"
1270,1010,"EMP106","2023-10-29","\N"
1271,1006,"EMP107","2023-01-01","2023-04-08"
1272,1005,"EMP107","2023-04-09","2023-09-18"
1273,1006,"EMP107","2023-09-19","\N"
1274,1011,"EMP108","2023-01-01","2023-04-28"
1275,1010,"EMP108","2023-04-29","2023-10-09"
1276,1009,"EMP108","2023-10-10","2024-02-27"
1277,1012,"EMP108","2024-02-28","\N"
1278,1012,"EMP109","2023-01-01","\N"
1279,1009,"EMP110","2023-01-01","2023-05-19"
1280,1012,"EMP110","2023-05-20","2023-08-23"
1281,1010,"EMP110","2023-08-24","2024-01-28"
1282,1009,"EMP110","2024-01-29","\N"
1283,1013,"EMP111","2023-01-01","2023-06-16"
1284,1016,"EMP111","2023-06-17","2023-12-12"
1285,1013,"EMP111","2023-12-13","2024-05-22"
1286,1015,"EMP111","2024-05-23","\N"
1287,1003,"EMP112","2023-01-01","\N"
1288,1005,"EMP113","2023-01-01","\N"
1289,1006,"EMP114","2023-01-01","2023-04-27"
1290,1007,"EMP114","2023-04-28","2023-10-19"
1291,1008,"EMP114","2023-10-20","\N"
1292,1013,"EMP115","2023-01-01","2023-05-04"
1293,1016,"EMP115","2023-05-05","2023-08-17"
1294,1014,"EMP115","2023-08-18","2023-12-15"
1295,1013,"EMP115","2023-12-16","\N"
1296,1015,"EMP116","2023-01-01","2023-06-03"
1297,1013,"EMP116","2023-06-04","\N"
1298,1006,"EMP117","2023-01-01","2023-06-30"
1299,1005,"EMP117","2023-07-01","2023-12-27"
1300,1008,"EMP117","2023-12-28","2024-04-23"
1301,1007,"EMP117","2024-04-24","\N"
1302,1004,"EMP118","2023-01-01","2023-05-17"
1303,1001,"EMP118","2023-05-18","2023-11-13"
1304,1003,"EMP118","2023-11-14","\N"
1305,1009,"EMP119","2023-01-01","2023-04-01"
1306,1012,"EMP119","2023-04-02","\N"
1307,1004,"EMP120","2023-01-01","\N"
1308,1015,"EMP121","2023-01-01","2023-06-14"
1309,1016,"EMP121","2023-06-15","\N"
1310,1010,"EMP122","2023-01-01","2023-05-31"
1311,1012,"EMP122","2023-06-01","\N"
1312,1014,"EMP123","2023-01-01","2023-05-25"
1313,1013,"EMP123","2023-05-26","2023-10-01"
1314,1016,"EMP123","2023-10-02","2024-02-23"
1315,1014,"EMP123","2024-02-24","\N"
1316,1006,"EMP124","2023-01-01","\N"
1317,1012,"EMP125","2023-01-01","2023-06-29"
1318,1009,"EMP125","2023-06-30","2023-12-02"
1319,1011,"EMP125","2023-12-03","2024-03-30"
1320,1010,"EMP125","2024-03-31","\N"
1321,1004,"EMP126","2023-01-01","2023-05-29"
1322,1003,"EMP126","2023-05-30","\N"
1323,1002,"EMP127","2023-01-01","2023-04-23"
1324,1004,"EMP127","2023-04-24","2023-10-06"
1325,1001,"EMP127","2023-10-07","\N"
1326,1007,"EMP128","2023-01-01","\N"
1327,1016,"EMP129","2023-01-01","2023-05-01"
1328,1014,"EMP129","2023-05-02","2023-08-20"
1329,1016,"EMP129","2023-08-21","\N"
1330,1013,"EMP130","2023-01-01","2023-05-24"
1331,1016,"EMP130","2023-05-25","\N"
1332,1007,"EMP131","2023-01-01","2023-05-19"
1333,1005,"EMP131","2023-05-20","2023-11-16"
1334,1007,"EMP131","2023-11-17","\N"
1335,1008,"EMP132","2023-01-01","2023-05-23"
1336,1007,"EMP132","2023-05-24","2023-09-27"
1337,1008,"EMP132","2023-09-28","2023-12-28"
1338,1007,"EMP132","2023-12-29","\N"
1339,1002,"EMP133","2023-01-01","2023-04-17"
1340,1001,"EMP133","2023-04-18","\N"
1341,1014,"EMP134","2023-01-01","2023-06-22"
1342,1015,"EMP134","2023-06-23","2023-10-13"
1343,1014,"EMP134","2023-10-14","2024-02-02"
1344,1013,"EMP134","2024-02-03","\N"
1345,1014,"EMP135","2023-01-01","2023-05-31"
1346,1015,"EMP135","2023-06-01","2023-11-14"
1347,1013,"EMP135","2023-11-15","\N"
1348,1001,"EMP136","2023-01-01","\N"
1349,1011,"EMP137","2023-01-01","2023-06-26"
1350,1009,"EMP137","2023-06-27","2023-10-14"
1351,1012,"EMP137","2023-10-15","\N"
1352,1013,"EMP138","2023-01-01","2023-04-29"
1353,1015,"EMP138","2023-04-30","2023-10-10"
1354,1014,"EMP138","2023-10-11","2024-03-08"
1355,1015,"EMP138","2024-03-09","\N"
1356,1012,"EMP139","2023-01-01","\N"
1357,1002,"EMP140","2023-01-01","2023-06-04"
1358,1004,"EMP140","2023-06-05","2023-10-31"
1359,1002,"EMP140","2023-11-01","\N"
1360,1004,"EMP141","2023-01-01","\N"
1361,1006,"EMP142","2023-01-01","2023-06-18"
1362,1005,"EMP142","2023-06-19","2023-11-10"
1363,1006,"EMP142","2023-11-11","2024-02-10"
1364,1005,"EMP142","2024-02-11","\N"
1365,1016,"EMP143","2023-01-01","\N"
1366,1003,"EMP144","2023-01-01","2023-04-15"
1367,1001,"EMP144","2023-04-16","2023-08-15"
1368,1004,"EMP144","2023-08-16","\N"
1369,1003,"EMP145","2023-01-01","\N"
1370,1006,"EMP146","2023-01-01","\N"
1371,1010,"EMP147","2023-01-01","2023-05-19"
1372,1009,"EMP147","2023-05-20","2023-09-23"
1373,1011,"EMP147","2023-09-24","\N"
1374,1012,"EMP148","2023-01-01","2023-05-17"
1375,1010,"EMP148","2023-05-18","2023-11-07"
1376,1011,"EMP148","2023-11-08","2024-03-03"
1377,1012,"EMP148","2024-03-04","\N"
1378,1012,"EMP149","2023-01-01","2023-06-03"
1379,1011,"EMP149","2023-06-04","2023-10-06"
1380,1009,"EMP149","2023-10-07","2024-02-23"
1381,1010,"EMP149","2024-02-24","\N"
1382,1003,"EMP150","2023-01-01","2023-04-12"
1383,1001,"EMP150","2023-04-13","2023-10-04"
1384,1002,"EMP150","2023-10-05","2024-01-09"
1385,1004,"EMP150","2024-01-10","\N"
1386,1006,"EMP151","2023-01-01","\N"
1387,1005,"EMP152","2023-01-01","\N"
1388,1013,"EMP153","2023-01-01","2023-06-20"
1389,1016,"EMP153","2023-06-21","2023-11-06"
1390,1014,"EMP153","2023-11-07","\N"
1391,1005,"EMP154","2023-01-01","2023-06-04"
1392,1006,"EMP154","2023-06-05","2023-09-25"
1393,1007,"EMP154","2023-09-26","\N"
1394,1012,"EMP155","2023-01-01","2023-05-07"
1395,1009,"EMP155","2023-05-08","2023-08-29"
1396,1011,"EMP155","2023-08-30","\N"
1397,1001,"EMP156","2023-01-01","2023-05-31"
1398,1003,"EMP156","2023-06-01","2023-10-10"
1399,1004,"EMP156","2023-10-11","2024-02-24"
1400,1003,"EMP156","2024-02-25","\N"
1401,1004,"EMP157","2023-01-01","\N"
1402,1014,"EMP158","2023-01-01","2023-04-05"
1403,1016,"EMP158","2023-04-06","2023-09-30"
1404,1013,"EMP158","2023-10-01","\N"
1405,1009,"EMP159","2023-01-01","2023-06-22"
1406,1012,"EMP159","2023-06-23","2023-10-14"
1407,1010,"EMP159","2023-10-15","2024-02-20"
1408,1009,"EMP159","2024-02-21","\N"
1409,1004,"EMP160","2023-01-01","2023-05-20"
1410,1003,"EMP160","2023-05-21","2023-08-23"
1411,1001,"EMP160","2023-08-24","\N"
1412,1010,"EMP161","2023-01-01","\N"
1413,1003,"EMP162","2023-01-01","\N"
1414,1005,"EMP163","2023-01-01","2023-04-07"
1415,1008,"EMP163","2023-04-08","2023-07-29"
1416,1007,"EMP163","2023-07-30","\N"
1417,1003,"EMP164","2023-01-01","\N"
1418,1010,"EMP165","2023-01-01","\N"
1419,1005,"EMP166","2023-01-01","2023-05-24"
1420,1006,"EMP166","2023-05-25","2023-10-31"
1421,1008,"EMP166","2023-11-01","\N"
1422,1006,"EMP167","2023-01-01","2023-05-24"
1423,1005,"EMP167","2023-05-25","2023-08-28"
1424,1008,"EMP167","2023-08-29","\N"
1425,1004,"EMP168","2023-01-01","2023-05-26"
1426,1003,"EMP168","2023-05-27","\N"
1427,1008,"EMP169","2023-01-01","2023-06-09"
1428,1006,"EMP169","2023-06-10","2023-11-10"
1429,1007,"EMP169","2023-11-11","2024-02-14"
1430,1005,"EMP169","2024-02-15","\N"
1431,1002,"EMP170","2023-01-01","2023-05-25"
1432,1001,"EMP170","2023-05-26","\N"
1433,1016,"EMP171","2023-01-01","2023-05-18"
1434,1015,"EMP171","2023-05-19","2023-09-18"
1435,1016,"EMP171","2023-09-19","2023-12-28"
1436,1013,"EMP171","2023-12-29","\N"
1437,1008,"EMP172","2023-01-01","2023-05-05"
1438,1006,"EMP172","2023-05-06","\N"
1439,1016,"EMP173","2023-01-01","2023-06-12"
1440,1015,"EMP173","2023-06-13","\N"
1441,1013,"EMP174","2023-01-01","\N"
1442,1011,"EMP175","2023-01-01","2023-05-12"
1443,1012,"EMP175","2023-05-13","2023-10-23"
1444,1011,"EMP175","2023-10-24","\N"
1445,1015,"EMP176","2023-01-01","2023-04-14"
1446,1016,"EMP176","2023-04-15","\N"
1447,1013,"EMP177","2023-01-01","\N"
1448,1014,"EMP178","2023-01-01","2023-06-16"
1449,1016,"EMP178","2023-06-17","2023-10-12"
1450,1014,"EMP178","2023-10-13","\N"
1451,1011,"EMP179","2023-01-01","2023-05-01"
1452,1012,"EMP179","2023-05-02","2023-09-03"
1453,1009,"EMP179","2023-09-04","\N"
1454,1013,"EMP180","2023-01-01","2023-05-09"
1455,1015,"EMP180","2023-05-10","2023-09-26"
1456,1014,"EMP180","2023-09-27","\N"
1457,1014,"EMP181","2023-01-01","2023-04-19"
1458,1016,"EMP181","2023-04-20","\N"
1459,1016,"EMP182","2023-01-01","2023-04-20"
1460,1013,"EMP182","2023-04-21","2023-08-21"
1461,1015,"EMP182","2023-08-22","\N"
1462,1014,"EMP183","2023-01-01","\N"
1463,1002,"EMP184","2023-01-01","\N"
1464,1005,"EMP185","2023-01-01","2023-04-04"
1465,1007,"EMP185","2023-04-05","2023-08-24"
1466,1005,"EMP185","2023-08-25","2024-01-19"
1467,1006,"EMP185","2024-01-20","\N"
1468,1007,"EMP186","2023-01-01","2023-04-24"
1469,1008,"EMP186","2023-04-25","2023-09-03"
1470,1005,"EMP186","2023-09-04","2024-01-13"
1471,1006,"EMP186","2024-01-14","\N"
1472,1012,"EMP187","2023-01-01","\N"
1473,1008,"EMP188","2023-01-01","2023-05-10"
1474,1006,"EMP188","2023-05-11","2023-11-04"
1475,1008,"EMP188","2023-11-05","2024-04-26"
1476,1005,"EMP188","2024-04-27","\N"
1477,1002,"EMP189","2023-01-01","\N"
1478,1001,"EMP190","2023-01-01","2023-05-26"
1479,1004,"EMP190","2023-05-27","\N"
1480,1004,"EMP191","2023-01-01","\N"
1481,1005,"EMP192","2023-01-01","2023-06-16"
1482,1006,"EMP192","2023-06-17","2023-10-04"
1483,1008,"EMP192","2023-10-05","2024-01-13"
1484,1005,"EMP192","2024-01-14","\N"
